Датасет,Метод инициализации,Количество кластеров,Время (сек),ARI,AMI
load_digits,k-means++,10,0.13942313194274902,0.5344065110201505,0.6678067570439229
load_digits,random,10,0.06679892539978027,0.5177189507569366,0.6567775278791558
load_digits,PCA компоненты,10,0.013499975204467773,0.5475841825002706,0.6959894038743849
breast_cancer,k-means++,2,0.019170045852661133,0.6536246043910179,0.531773721982653
